"serial" "s1gender" "ethsfr" "famsec" "s1pared" "s1expel" "s1truan" "s1weight" "s1peta2" "gcsepts" "graddsci" "satdsci" "gradfren" "satfren" "gradit" "satit" "gradphys" "satphys" "gradchem" "satchem" "gradbiol" "satbiol" "gradmath" "satmath" "gradeng" "sateng" "pcschtype"
"13" 20222 "Male" "White" "Lower professional and higher technical occupations" "At least one parent with A-level" "Not excluded" "No truancy" 0.455865991864386 "5+ A*-C" 71 "Fail" "No" "A" "Yes" NA "No" "B" "Yes" "A" "Yes" "A" "Yes" "A" "Yes" "A" "Yes" "Independent"
"14" 20230 "Male" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.455865991864386 "5+ A*-C" 64 "Fail" "No" "B" "Yes" NA "No" "B" "Yes" "B" "Yes" "B" "Yes" "B" "Yes" "A" "Yes" "Independent"
"15" 20248 "Male" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.455865991864386 "5+ A*-C" 58 "Fail" "No" "C" "Yes" NA "No" "C" "Yes" "B" "Yes" "C" "Yes" "C" "Yes" "B" "Yes" "Independent"
"16" 20255 "Male" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.455865991864386 "5+ A*-C" 81 "Fail" "No" "A*" "Yes" NA "No" "A*" "Yes" "A*" "Yes" "A" "Yes" "A" "Yes" "A" "Yes" "Independent"
"17" 20271 "Male" "White" "Lower professional and higher technical occupations" "At least one parent with A-level" "Not excluded" "No truancy" 0.455865991864386 "5+ A*-C" 59 "Fail" "No" "C" "Yes" NA "No" "B" "Yes" "B" "Yes" "A" "Yes" "A" "Yes" "B" "Yes" "Independent"
"18" 20289 "Male" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.455865991864386 "5+ A*-C" 88 "Fail" "No" "A*" "Yes" NA "No" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A*" "Yes" "Independent"
"19" 20305 "Male" "White" "Large employers and higher professionals" "At least one parent with A-level" "Not excluded" "No truancy" 0.455865991864386 "5+ A*-C" 66 "Fail" "No" "B" "Yes" NA "No" "A" "Yes" "A" "Yes" "A" "Yes" "A" "Yes" "B" "Yes" "Independent"
"20" 20313 "Male" "Indian" "Intermediate occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.455865991864386 "5+ A*-C" 70 "Fail" "No" "B" "Yes" NA "No" "A" "Yes" "A*" "Yes" "A*" "Yes" "A" "Yes" "A" "Yes" "Independent"
"21" 20321 "Male" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.455865991864386 "5+ A*-C" 80 "Fail" "No" "A" "Yes" NA "No" "A" "Yes" "A*" "Yes" "A" "Yes" "A*" "Yes" "A" "Yes" "Independent"
"22" 20347 "Male" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.455865991864386 "5+ A*-C" 62 "Fail" "No" "B" "Yes" NA "No" "B" "Yes" "B" "Yes" "B" "Yes" "A" "Yes" "A" "Yes" "Independent"
"23" 20354 "Male" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.455865991864386 "5+ A*-C" 76 "Fail" "No" "A*" "Yes" NA "No" "A*" "Yes" "A*" "Yes" "A" "Yes" "A*" "Yes" "A" "Yes" "Independent"
"24" 20370 "Male" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.455865991864386 "5+ A*-C" 78 "Fail" "No" "A" "Yes" NA "No" "A*" "Yes" "A" "Yes" "A" "Yes" "A*" "Yes" "A*" "Yes" "Independent"
"25" 20388 "Male" "White" "Lower professional and higher technical occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.455865991864386 "5+ A*-C" 57 "B" "Yes" NA "No" "A" "Yes" NA "No" NA "No" NA "No" "B" "Yes" "A" "Yes" "Independent"
"26" 20396 "Male" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.455865991864386 "5+ A*-C" 83 "Fail" "No" NA "No" "A*" "Yes" "A" "Yes" "A" "Yes" "A" "Yes" "A*" "Yes" "A*" "Yes" "Independent"
"27" 20420 "Male" "White" "Lower professional and higher technical occupations" "Neither parent with A-level" "Not excluded" "No truancy" 1.09751230816243 "5+ A*-C" 42 "D" "Yes" NA "No" "A" "Yes" NA "No" NA "No" NA "No" "C" "Yes" "B" "Yes" "Independent"
"28" 20446 "Male" "White" "Intermediate occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.455865991864386 "5+ A*-C" 48 "C" "Yes" "B" "Yes" "B" "Yes" NA "No" NA "No" NA "No" "B" "Yes" "C" "Yes" "Independent"
"29" 20479 "Male" "White" "Lower supervisory occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.455865991864386 "5+ A*-C" 79 "Fail" "No" NA "No" "B" "Yes" "B" "Yes" "B" "Yes" "A" "Yes" "C" "Yes" "C" "Yes" "Independent"
"30" 20495 "Female" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.799573134316697 "5+ A*-C" 52 "Fail" "No" "B" "Yes" NA "No" "A" "Yes" NA "No" "B" "Yes" "A" "Yes" "B" "Yes" "Independent"
"31" 20503 "Female" "White" "Lower professional and higher technical occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.799573134316697 "5+ A*-C" 85 "Fail" "No" "A" "Yes" NA "No" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A" "Yes" "Independent"
"32" 20511 "Male" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.455865991864386 "5+ A*-C" 69 "A*" "Yes" "A" "Yes" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "A" "Yes" "Independent"
"33" 20529 "Male" "White" "Intermediate occupations" "At least one parent with degree" "Not excluded" "No truancy" 1.09751230816243 "5+ A*-C" 41 "C" "Yes" "E" "Yes" NA "No" NA "No" NA "No" NA "No" "C" "Yes" "C" "Yes" "Independent"
"34" 20537 "Male" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 2.37513896007348 "1-4 A*-C" 32 "C" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "D" "Yes" "D" "Yes" "Independent"
"35" 20545 "Male" "White" "Intermediate occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.455865991864386 "5+ A*-C" 67 "A" "Yes" "A" "Yes" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "A" "Yes" "Independent"
"36" 20552 "Female" "White" "Large employers and higher professionals" "Neither parent with A-level" "Not excluded" "Occasional truancy" 0.799573134316697 "5+ A*-C" 50 "C" "Yes" NA "No" "C" "Yes" NA "No" NA "No" NA "No" "C" "Yes" "B" "Yes" "Independent"
"37" 20560 "Female" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.799573134316697 "5+ A*-C" 59 "B" "Yes" "A" "Yes" NA "No" NA "No" NA "No" NA "No" "C" "Yes" "A" "Yes" "Independent"
"38" 20586 "Female" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.799573134316697 "5+ A*-C" 86 "Fail" "No" "A*" "Yes" "A" "Yes" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A" "Yes" "Independent"
"39" 20602 "Female" "White" "Intermediate occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.943299935868168 "5+ A*-C" 43 "D" "Yes" NA "No" "C" "Yes" NA "No" NA "No" NA "No" "B" "Yes" "D" "Yes" "Independent"
"40" 20610 "Female" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.799573134316697 "5+ A*-C" 64 "Fail" "No" "B" "Yes" "B" "Yes" "B" "Yes" "C" "Yes" "B" "Yes" "B" "Yes" "C" "Yes" "Independent"
"41" 20628 "Male" "White" "Intermediate occupations" "Neither parent with A-level" "Not excluded" "No truancy" 1.09751230816243 "5+ A*-C" 44 "D" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "C" "Yes" "C" "Yes" "Independent"
"42" 20669 "Female" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 76 "Fail" "No" "A*" "Yes" NA "No" "A" "Yes" "A" "Yes" "A" "Yes" "A" "Yes" "A" "Yes" "Independent"
"43" 20701 "Female" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 75 "Fail" "No" "A*" "Yes" "A" "Yes" "A" "Yes" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A*" "Yes" "Independent"
"44" 20735 "Female" "White" "Lower supervisory occupations" "Neither parent with A-level" "Not excluded" "Occasional truancy" 2.2260242776145 "1-4 A*-C" 42.5 "D" "Yes" "D" "Yes" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "B" "Yes" "Independent"
"45" 20784 "Female" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 68 "Fail" "No" NA "No" NA "No" "A" "Yes" "A" "Yes" "A" "Yes" "A*" "Yes" "B" "Yes" "Independent"
"46" 20800 "Female" "White" "Intermediate occupations" "Neither parent with A-level" "Not excluded" "No truancy" 2.2260242776145 "1-4 A*-C" 42 "E" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "D" "Yes" "C" "Yes" "Independent"
"47" 20818 "Female" "White" "Lower professional and higher technical occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 55 "Fail" "No" "B" "Yes" NA "No" "B" "Yes" "C" "Yes" "B" "Yes" "B" "Yes" "A" "Yes" "Independent"
"48" 20826 "Female" "White" "Lower professional and higher technical occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 72 "Fail" "No" NA "No" NA "No" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A*" "Yes" "Independent"
"49" 20834 "Female" "White" "Lower professional and higher technical occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 71 "A*" "Yes" "A*" "Yes" NA "No" NA "No" NA "No" NA "No" "A" "Yes" "A*" "Yes" "Independent"
"50" 20859 "Female" "White" "Lower professional and higher technical occupations" "At least one parent with A-level" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 53 "A" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "A" "Yes" "B" "Yes" "Independent"
"51" 20867 "Female" "White" "Large employers and higher professionals" "Neither parent with A-level" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 61 "A" "Yes" "A" "Yes" "A" "Yes" NA "No" NA "No" NA "No" "A" "Yes" "B" "Yes" "Independent"
"52" 20875 "Female" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 64 "A" "Yes" "A" "Yes" NA "No" NA "No" NA "No" NA "No" "A" "Yes" "A" "Yes" "Independent"
"53" 20891 "Female" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 75 "A*" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "A*" "Yes" "A" "Yes" "Independent"
"54" 20917 "Female" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 80 "Fail" "No" "A*" "Yes" NA "No" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A*" "Yes" "Independent"
"55" 20925 "Female" "White" "Intermediate occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 51 "C" "Yes" "B" "Yes" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "B" "Yes" "Independent"
"56" 20933 "Male" "White" "Other" "Neither parent with A-level" "Not excluded" "No truancy" 0.551846689000333 "5+ A*-C" 45 "Fail" "No" "D" "Yes" NA "No" "C" "Yes" NA "No" "C" "Yes" "C" "Yes" "C" "Yes" "Independent"
"57" 20941 "Male" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.551846689000333 "5+ A*-C" 59 "Fail" "No" "A" "Yes" NA "No" "A" "Yes" NA "No" NA "No" "A*" "Yes" "A" "Yes" "Independent"
"58" 20958 "Male" "White" "Other" "Neither parent with A-level" "Not excluded" "No truancy" 0.551846689000333 "5+ A*-C" 59 "Fail" "No" "A" "Yes" NA "No" "B" "Yes" "B" "Yes" "B" "Yes" "A" "Yes" "A" "Yes" "Independent"
"59" 20966 "Male" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.551846689000333 "5+ A*-C" 60 "Fail" "No" "B" "Yes" NA "No" "A*" "Yes" "A*" "Yes" NA "No" "A*" "Yes" "A" "Yes" "Independent"
"60" 20974 "Female" "White" "Lower professional and higher technical occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 56 "C" "Yes" "C" "Yes" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "A" "Yes" "Independent"
"61" 20990 "Male" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.551846689000333 "5+ A*-C" 71 "Fail" "No" "A*" "Yes" NA "No" "A" "Yes" "A" "Yes" "A" "Yes" "A" "Yes" "B" "Yes" "Independent"
"62" 21014 "Male" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.551846689000333 "5+ A*-C" 53 "B" "Yes" "C" "Yes" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "C" "Yes" "Independent"
"63" 21048 "Male" "Indian" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.551846689000333 "5+ A*-C" 72 "Fail" "No" "A*" "Yes" NA "No" "A" "Yes" "A" "Yes" "A" "Yes" "A" "Yes" "A" "Yes" "Independent"
"64" 21097 "Male" "White" "Large employers and higher professionals" "At least one parent with degree" "Suspended" "No truancy" 0.551846689000333 "5+ A*-C" 73 "Fail" "No" "A" "Yes" NA "No" "A" "Yes" "A" "Yes" "B" "Yes" "B" "Yes" "C" "Yes" "Independent"
"65" 21105 "Male" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.551846689000333 "5+ A*-C" 69 "Fail" "No" "B" "Yes" NA "No" "A" "Yes" "B" "Yes" "B" "Yes" "B" "Yes" "A" "Yes" "Independent"
"66" 21121 "Male" "White" "Lower professional and higher technical occupations" "At least one parent with A-level" "Not excluded" "No truancy" 0.551846689000333 "5+ A*-C" 85 "Fail" "No" "A*" "Yes" NA "No" "A*" "Yes" "A" "Yes" "A*" "Yes" "A" "Yes" "A" "Yes" "Independent"
"67" 21139 "Female" "White" "Intermediate occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 60 "C" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "B" "Yes" "Independent"
"68" 21147 "Female" "White" "Intermediate occupations" "At least one parent with A-level" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 75 "A" "Yes" "A*" "Yes" NA "No" NA "No" NA "No" NA "No" "A" "Yes" "A" "Yes" "Independent"
"69" 21196 "Female" "White" "Lower supervisory occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 63 "B" "Yes" "A" "Yes" NA "No" NA "No" NA "No" NA "No" "C" "Yes" "A" "Yes" "Independent"
"70" 21204 "Female" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 70 "Fail" "No" NA "No" NA "No" "A" "Yes" "A" "Yes" "A" "Yes" "B" "Yes" "A" "Yes" "Independent"
"71" 21220 "Female" "Other Asian (inc Chinese)" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 76 "A*" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "A" "Yes" "A*" "Yes" "Independent"
"72" 21238 "Female" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 70 "A" "Yes" "A" "Yes" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "A" "Yes" "Independent"
"73" 21246 "Female" "White" "Large employers and higher professionals" "Neither parent with A-level" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 67 "A" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "A" "Yes" "Independent"
"74" 21279 "Female" "Pakistani" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 70 "A" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "A" "Yes" "A*" "Yes" "Independent"
"75" 21295 "Female" "Pakistani" "Other" "Neither parent with A-level" "Not excluded" "No truancy" 2.2260242776145 "5+ D-G" 16 "Fail" "No" NA "No" NA "No" NA "No" NA "No" NA "No" "F" "Yes" "E" "Yes" "Independent"
"76" 21378 "Male" "Other ethnic group(inc mixed)" "Semi routine and routine occupations" "Neither parent with A-level" "Not excluded" "Occasional truancy" 2.37513896007348 "1-4 A*-C" 30.5 "C" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "E" "Yes" "B" "Yes" "Independent"
"77" 21386 "Male" "Pakistani" "Lower supervisory occupations" "Neither parent with A-level" "Not excluded" "No truancy" 1.09751230816243 "5+ A*-C" 41 "B" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "C" "Yes" "A" "Yes" "Independent"
"78" 21402 "Male" "White" "Intermediate occupations" "At least one parent with A-level" "Suspended" "No truancy" 1.09751230816243 "5+ A*-C" 52.5 "B" "Yes" "A" "Yes" "D" "Yes" NA "No" NA "No" NA "No" "B" "Yes" "C" "Yes" "Independent"
"79" 21410 "Male" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.551846689000333 "5+ A*-C" 68 "Fail" "No" "A*" "Yes" NA "No" "A" "Yes" "A*" "Yes" "A" "Yes" "A*" "Yes" "A" "Yes" "Independent"
"80" 21428 "Male" "White" "Intermediate occupations" "Neither parent with A-level" "Not excluded" "No truancy" 1.09751230816243 "5+ A*-C" 45 "C" "Yes" "B" "Yes" "D" "Yes" NA "No" NA "No" NA "No" "C" "Yes" "B" "Yes" "Independent"
"81" 21436 "Male" "White" "Lower professional and higher technical occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.551846689000333 "5+ A*-C" 67 "Fail" "No" "A" "Yes" NA "No" "B" "Yes" "A" "Yes" "A" "Yes" "A" "Yes" "A" "Yes" "Independent"
"82" 21469 "Female" "Other ethnic group(inc mixed)" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 76 "A*" "Yes" "A*" "Yes" NA "No" NA "No" NA "No" NA "No" "A" "Yes" "A" "Yes" "Independent"
"83" 21493 "Female" "Other ethnic group(inc mixed)" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "Occasional truancy" 0.536701133289513 "5+ A*-C" 78 "Fail" "No" "A*" "Yes" NA "No" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A" "Yes" "Independent"
"84" 21501 "Female" "Pakistani" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 62.5 "Fail" "No" "A" "Yes" NA "No" "B" "Yes" "B" "Yes" "A" "Yes" "A" "Yes" "B" "Yes" "Independent"
"85" 21519 "Female" "White" "Large employers and higher professionals" "At least one parent with A-level" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 79 "Fail" "No" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A" "Yes" "A*" "Yes" "A*" "Yes" "A*" "Yes" "Independent"
"86" 21535 "Female" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 78 "Fail" "No" "A*" "Yes" NA "No" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A*" "Yes" "Independent"
"87" 21543 "Female" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 72 "A" "Yes" "A" "Yes" NA "No" NA "No" NA "No" NA "No" "A" "Yes" "A" "Yes" "Independent"
"88" 21568 "Female" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 57 "Fail" "No" NA "No" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "A" "Yes" "Independent"
"89" 21576 "Male" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.551846689000333 "5+ A*-C" 69 "Fail" "No" "A*" "Yes" NA "No" NA "No" NA "No" "A" "Yes" "A" "Yes" "A*" "Yes" "Independent"
"90" 21584 "Male" "Indian" "Intermediate occupations" "At least one parent with A-level" "Not excluded" "No truancy" 0.551846689000333 "5+ A*-C" 79 "Fail" "No" "A" "Yes" NA "No" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A*" "Yes" "Independent"
"91" 21592 "Male" "White" "Lower professional and higher technical occupations" "At least one parent with A-level" "Not excluded" "No truancy" 0.551846689000333 "5+ A*-C" 77 "Fail" "No" "A" "Yes" NA "No" "A" "Yes" "A*" "Yes" "A*" "Yes" "A" "Yes" "A*" "Yes" "Independent"
"92" 21600 "Male" "White" "Large employers and higher professionals" "At least one parent with degree" "Suspended" "No truancy" 0.551846689000333 "5+ A*-C" 49 "Fail" "No" "A" "Yes" NA "No" NA "No" "C" "Yes" NA "No" "C" "Yes" "A" "Yes" "Independent"
"93" 21618 "Male" NA "Large employers and higher professionals" "Neither parent with A-level" "Not excluded" "No truancy" 0.551846689000333 "5+ A*-C" 80 "Fail" "No" "A*" "Yes" NA "No" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A*" "Yes" "Independent"
"94" 21634 "Male" "White" "Intermediate occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.551846689000333 "5+ A*-C" 65 "Fail" "No" "A*" "Yes" NA "No" "B" "Yes" "A" "Yes" NA "No" "A" "Yes" "A" "Yes" "Independent"
"95" 21659 "Male" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.551846689000333 "5+ A*-C" 72 "Fail" "No" "A*" "Yes" NA "No" NA "No" NA "No" "A*" "Yes" "A*" "Yes" "A*" "Yes" "Independent"
"96" 21691 "Male" "White" "Large employers and higher professionals" "At least one parent with A-level" "Not excluded" "Occasional truancy" 0.551846689000333 "5+ A*-C" 62 "Fail" "No" "A" "Yes" NA "No" "A" "Yes" "A" "Yes" "B" "Yes" "A" "Yes" "A" "Yes" "Independent"
"97" 21709 "Male" "Pakistani" "Semi routine and routine occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.551846689000333 "5+ A*-C" 68 "Fail" "No" "A" "Yes" NA "No" "A*" "Yes" "A" "Yes" "B" "Yes" "A" "Yes" "A" "Yes" "Independent"
"98" 21717 "Male" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.551846689000333 "5+ A*-C" 78 "Fail" "No" "A*" "Yes" NA "No" "A*" "Yes" "A*" "Yes" NA "No" "A*" "Yes" "A*" "Yes" "Independent"
"99" 21725 "Male" "White" "Intermediate occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.551846689000333 "5+ A*-C" 63 "Fail" "No" "A" "Yes" NA "No" "B" "Yes" "B" "Yes" "B" "Yes" "B" "Yes" "A" "Yes" "Independent"
"100" 21741 "Female" "White" "Other" "Neither parent with A-level" "Not excluded" "No truancy" 0.536701133289513 "5+ A*-C" 63.5 "B" "Yes" "B" "Yes" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "A" "Yes" "Independent"
