WaterbodyName,Years,SampleDate,Alkalinity-total (as CaCO3),Ammonia-Total (as N),BOD - 5 days (Total),Chloride,Conductivity @25°C,Dissolved Oxygen,ortho-Phosphate (as P) - unspecified,pH,Temperature,Total Hardness (as CaCO3),True Colour,CCME_Values,CCME_WQI,WAWQI_Values,WAWQI,Horton_values,Horton WQI,Brown_values,Brown WQI,SRDD_values,SRDD WQI
Allua,2008,May,14.0,0.051,1.2,18.7,99.0,58.0,0.019,7.15,13.4,21.1,14.0,81.24987661049393,Good,68.58603015056778,Good,35.663636363636364,Moderate,97.57241733,Excellent,96.066267243504,Excellent
Allua,2008,Jun,16.0,0.025,1.2,16.1,98.0,55.9,0.006,7.23,17.4,21.3,22.0,78.97121791826314,Fair,91.97217715455102,Excellent,34.78363636363636,Moderate,97.49637435,Excellent,96.065378646256,Excellent
Allua,2008,Jun,18.0,0.041,1.2,14.9,92.0,52.7,0.005,7.08,16.3,19.5,26.0,79.3067097317297,Fair,93.18570734764745,Excellent,33.092727272727274,Moderate,97.40049463,Excellent,96.373748150016,Excellent
Allua,2008,Jun,16.0,0.033,1.2,15.8,93.0,55.05,0.005,7.23,14.3,20.0,25.0,78.89839881871923,Fair,93.51163709537819,Excellent,33.99272727272727,Moderate,97.51278839,Excellent,96.274806634224,Excellent
Allua,2008,Jul,15.0,0.033,1.2,11.9,75.0,62.6,0.019,7.14,16.2,16.4,37.0,76.46215470464969,Fair,69.04067944903375,Good,34.623636363636365,Moderate,97.53002999,Excellent,96.057122593776,Excellent
Allua,2008,Jul,14.0,0.033,1.2,11.6,73.0,57.7,0.019,7.02,15.8,15.5,41.0,77.08774811463452,Fair,68.60498724496514,Good,32.49818181818181,Moderate,97.69241439,Excellent,96.464065753536,Excellent
Allua,2008,Jul,20.0,0.023,1.2,11.8,73.0,60.4,0.019,7.04,16.1,15.4,47.0,76.12861427477904,Fair,68.94014233661562,Good,34.050909090909094,Moderate,97.18942369,Excellent,96.032143165296,Excellent
Allua,2008,Aug,14.0,0.033,1.2,11.2,77.0,58.5,0.019,7.24,17.7,16.9,35.0,77.39770155331455,Fair,68.69662307800772,Good,33.196363636363635,Moderate,97.67577199,Excellent,96.329066622976,Excellent
Allua,2008,Aug,13.0,0.033,1.2,9.72,74.0,61.7,0.019,6.99,18.1,15.6,39.0,76.48084305577282,Fair,68.96953479401972,Good,33.770909090909086,Moderate,97.72765719,Excellent,96.210405830656,Excellent
Allua,2008,Aug,12.0,0.033,1.2,10.7,74.0,56.9,0.019,7.12,17.6,16.1,36.0,77.63302857913743,Fair,68.57325226056658,Good,32.07090909090909,Moderate,97.86627639,Excellent,96.566361351936,Excellent
Allua,2008,Sep,18.0,0.048,1.2,9.99,72.0,48.35,0.019,7.02,15.8,17.3,44.0,78.71209585429736,Fair,67.51286081431218,Good,29.224545454545453,Poor,97.52454624,Excellent,96.965338447216,Excellent
Allua,2008,Sep,15.0,0.033,1.2,9.89,74.0,53.4,0.019,6.93,15.0,17.7,40.0,78.01065860069691,Fair,68.269808737327,Good,30.928181818181823,Poor,97.69138659,Excellent,96.749450626816,Excellent
Allua,2008,Sep,16.0,0.094,1.2,9.58,69.0,50.05,0.019,6.86,15.1,16.1,47.0,78.12112343770875,Fair,66.83291868070944,Good,29.29272727272727,Poor,97.62916222,Excellent,96.9792169584,Excellent
Allua,2008,Oct,17.0,0.055,1.2,9.88,79.0,50.75,0.019,7.03,12.8,18.2,38.0,78.71209585429736,Fair,67.6577309512594,Good,30.636363636363637,Poor,97.55723265,Excellent,96.840379988976,Excellent
Allua,2008,Oct,15.0,0.046,1.2,9.82,73.0,54.9,0.019,6.86,10.7,17.2,34.0,78.19168808361982,Fair,68.24770592345385,Good,31.350909090909088,Moderate,97.66221318,Excellent,96.813403709184,Excellent
Allua,2008,Oct,13.0,0.065,1.2,9.23,68.0,53.05,0.012,7.08,12.7,15.8,42.0,77.92066254315677,Fair,80.11664794719387,Excellent,30.068181818181817,Poor,97.84228855,Excellent,96.971717881584,Excellent
Allua,2008,Nov,13.0,0.068,1.2,8.99,61.0,46.4,0.007,6.71,8.1,12.4,38.0,79.62507036377006,Fair,88.54463142899667,Excellent,26.85727272727273,Poor,97.96541564,Excellent,97.632734657536,Excellent
Allua,2008,Nov,14.0,0.075,1.2,9.23,63.0,46.9,0.008,6.69,8.3,13.3,35.0,79.77488949259546,Fair,86.71361616900677,Excellent,27.326363636363634,Poor,97.86800885,Excellent,97.558081223104,Excellent
Allua,2008,Nov,14.0,0.068,1.2,8.12,60.0,44.7,0.006,6.79,8.5,11.4,35.0,80.2508074133709,Good,90.20428007341121,Excellent,26.18909090909091,Poor,97.92696764,Excellent,97.745185427184,Excellent
Allua,2008,Dec,19.0,0.062,1.2,10.4,74.0,52.85,0.019,6.94,6.3,15.2,28.0,79.10699749849151,Fair,67.84352783177789,Good,31.14181818181818,Moderate,97.37280086,Excellent,96.955268152944,Excellent
Allua,2008,Dec,20.0,0.063,1.2,10.7,75.0,53.45,0.019,6.9,6.3,15.3,25.0,79.23295744647496,Fair,67.91722222619632,Good,31.55454545454546,Moderate,97.28162169,Excellent,96.891450180336,Excellent
Allua,2008,Dec,20.0,0.023,1.2,10.1,71.0,52.8,0.019,6.95,6.5,14.3,29.0,79.03379767670998,Fair,68.52240671403825,Good,30.918181818181814,Poor,97.33310049,Excellent,96.977868088816,Excellent
Allua,2009,Apr,17.0,0.022,1.2,9.98,356.0,57.4,0.019,6.7,9.3,152.0,30.0,78.01065860069691,Fair,68.93995774314607,Good,58.125454545454545,Fair,96.90410926,Excellent,88.684203701184,Good
Allua,2009,Apr,21.0,0.018,1.2,10.37,356.0,59.0,0.019,6.9,9.4,152.0,22.0,78.33344406665023,Fair,69.1977526923302,Good,59.17909090909091,Fair,96.56497654,Excellent,88.336490924656,Good
Allua,2009,Jun,16.0,0.044,2.3,8.81,69.0,55.55,0.019,7.51,15.2,17.6,31.0,78.30299748928694,Fair,68.19742356673481,Good,31.45909090909091,Moderate,97.54941352,Excellent,96.6396710656,Excellent
Allua,2009,Jun,15.0,0.046,2.4,7.34,57.0,50.1,0.019,7.05,14.5,14.2,42.0,78.51692748838985,Fair,67.66165523094514,Good,27.994545454545456,Poor,97.74292558,Excellent,97.207611950064,Excellent
Allua,2009,Jun,17.0,0.03,1.7,8.56,68.0,53.4,0.019,7.19,14.9,17.3,31.0,78.74305150421772,Fair,68.35268845560444,Good,30.538181818181815,Poor,97.5386565,Excellent,96.834119978736,Excellent
Allua,2009,Aug,14.0,0.035,2.7,7.38,62.0,58.3,0.019,7.0,16.2,16.5,42.0,76.896234193807,Fair,68.5456487694025,Good,31.325454545454544,Moderate,97.68376065,Excellent,96.572125491696,Excellent
Allua,2009,Aug,11.0,0.025,1.6,6.16,52.0,59.3,0.019,6.75,15.8,13.7,48.0,76.25768428660055,Fair,68.83903841393705,Good,30.30545454545455,Poor,97.96559615,Excellent,96.837962083056,Excellent
Allua,2009,Aug,12.0,0.04,1.6,6.68,56.0,56.7,0.019,6.92,15.9,14.8,44.0,77.04930978505146,Fair,68.36376607376397,Good,29.923636363636366,Poor,97.9045774,Excellent,96.910589140416,Excellent
Allua,2009,Oct,16.0,0.048,2.1,6.2,61.0,44.7,0.019,6.92,13.9,16.9,37.0,80.07687045663009,Good,67.26304236853169,Good,26.334545454545456,Poor,97.75731184,Excellent,97.507744198656,Excellent
Allua,2009,Oct,18.0,0.025,1.3,6.53,67.0,41.95,0.019,6.82,13.0,18.3,28.0,81.48313690692285,Good,67.59616648751253,Good,26.05545454545455,Poor,97.67466295,Excellent,97.63488819633601,Excellent
Allua,2009,Oct,16.0,0.037,2.0,5.74,54.0,47.45,0.019,6.87,13.4,15.2,36.0,79.57175529040292,Fair,67.71760395766239,Good,26.63818181818182,Poor,97.73852291,Excellent,97.488421638384,Excellent
Allua,2010,Mar,11.0,0.024,1.2,7.86,64.0,46.95,0.019,6.94,7.4,15.0,34.0,79.8500937228865,Fair,67.95672041839077,Good,27.12909090909091,Poor,98.14453532,Excellent,97.6375695196,Excellent
Allua,2010,Mar,10.0,0.049,1.2,7.63,64.0,45.1,0.019,7.17,7.6,14.0,32.0,80.4257228662879,Good,67.33325106236202,Good,26.428181818181816,Poor,98.23619467,Excellent,97.7710107196,Excellent
Allua,2010,Mar,9.0,0.027,1.1,7.78,62.0,45.95,0.019,7.05,7.1,14.2,32.0,80.23990748472877,Good,67.8253287456135,Good,26.434545454545457,Poor,98.31924841,Excellent,97.789259235264,Excellent
Allua,2010,Jul,15.0,0.066,1.2,5.39,49.0,63.8,0.019,6.98,20.3,13.7,44.0,75.72822556609046,Fair,68.5032623208512,Good,32.04636363636364,Moderate,97.56816558,Excellent,96.419488333824,Excellent
Allua,2010,Jul,15.0,0.079,1.2,5.61,51.0,63.4,0.019,6.95,18.6,14.6,39.0,76.16540855010622,Fair,68.29983339532907,Good,32.091818181818184,Moderate,97.55858877,Excellent,96.4788978684,Excellent
Allua,2010,Jul,13.0,0.068,1.2,5.44,49.0,62.25,0.019,7.01,19.9,13.4,42.0,76.156203773028,Fair,68.35375982130567,Good,31.316363636363636,Moderate,97.74685904,Excellent,96.607448595456,Excellent
Allua,2010,Aug,16.0,0.033,2.4,5.66,59.0,57.4,0.007,7.36,18.9,17.2,29.0,78.09094544397821,Fair,90.01561978646848,Excellent,30.88181818181818,Poor,97.56395079,Excellent,96.676335559536,Excellent
Allua,2010,Aug,14.0,0.033,3.4,5.15,51.0,59.6,0.019,7.23,17.5,14.5,39.0,76.87717588361888,Fair,68.64990758240558,Good,30.679090909090913,Poor,97.67708419,Excellent,96.658825459456,Excellent
Allua,2010,Aug,17.0,0.033,3.5,5.04,53.0,59.55,0.019,7.04,19.2,15.4,37.0,77.0397108017601,Fair,68.69756108309322,Good,31.03636363636364,Moderate,97.44073739,Excellent,96.520626065136,Excellent
Allua,2010,Oct,15.0,0.044,2.3,7.28,70.0,49.45,0.019,7.15,12.8,17.4,29.0,79.74271906072437,Fair,67.77359876660522,Good,28.970909090909096,Poor,97.74330892,Excellent,97.1619206844,Excellent
Allua,2010,Oct,12.0,0.042,1.4,6.98,62.0,48.85,0.019,6.99,12.6,14.1,27.0,80.04436774124268,Good,67.85220343874886,Good,27.667272727272724,Poor,98.03000306,Excellent,97.489182282864,Excellent
Allua,2010,Oct,14.0,0.04,2.3,7.0,66.0,49.35,0.019,7.15,13.0,15.9,28.0,79.8500937228865,Fair,67.84796496870959,Good,28.454545454545453,Poor,97.835232,Excellent,97.271451043776,Excellent
Allua,2011,Jan,12.0,0.033,1.2,7.44,55.0,54.85,0.009,7.02,4.9,14.0,30.0,78.52716137111237,Fair,86.34674563937246,Excellent,29.265454545454546,Poor,97.94604079,Excellent,97.362078307776,Excellent
Allua,2011,Jan,9.0,0.02,1.2,7.4,54.0,54.55,0.011,6.87,4.8,13.5,31.0,78.50669784942073,Fair,83.00070338323029,Excellent,28.734545454545458,Poor,98.1981304,Excellent,97.479564342256,Excellent
Allua,2011,Jan,11.0,0.03,1.2,7.39,55.0,54.95,0.012,6.67,4.9,13.9,33.0,78.26246168002668,Fair,81.08576615163231,Excellent,29.079090909090908,Poor,98.0287563,Excellent,97.385129892864,Excellent
Allua,2011,Feb,8.0,0.028,1.2,12.5,72.0,52.7,0.019,6.83,7.8,17.5,22.0,79.64642473901904,Fair,68.52535092538776,Good,30.05636363636364,Poor,98.22572504,Excellent,97.243310932416,Excellent
Allua,2011,Feb,10.0,0.024,1.2,11.4,68.0,52.7,0.019,6.78,7.8,16.5,22.0,79.64642473901904,Fair,68.60617143001735,Good,29.75636363636364,Poor,98.08985692,Excellent,97.27822595159999,Excellent
Allua,2011,Feb,9.0,0.025,1.2,11.5,69.0,52.95,0.019,6.76,8.0,16.9,22.0,79.59306915656472,Fair,68.61310692114385,Good,29.84909090909091,Poor,98.16034935,Excellent,97.267815803376,Excellent
Allua,2011,Mar,12.0,0.034,1.2,10.1,74.0,56.8,0.019,7.08,9.8,17.7,19.0,81.53275290554379,Good,68.74940684425776,Good,31.96545454545454,Moderate,97.86822322,Excellent,96.86391319,Excellent
Allua,2011,Mar,12.0,0.033,1.2,9.68,73.0,57.9,0.019,7.06,9.7,17.0,16.0,81.27330714185622,Good,68.89764669560608,Good,32.22909090909091,Moderate,97.85963039,Excellent,96.848991588336,Excellent
Allua,2011,Mar,12.0,0.033,1.2,10.2,71.0,56.2,0.019,7.01,9.8,16.5,17.0,81.67559917223502,Good,68.75222772449182,Good,31.45818181818182,Moderate,97.88312759,Excellent,96.97299853041599,Excellent
Allua,2011,Apr,18.0,0.033,1.3,9.37,67.0,54.0,0.019,7.0,12.1,15.8,26.0,79.03379767670998,Fair,68.46120972476743,Good,30.76090909090909,Poor,97.45963399,Excellent,96.908493640176,Excellent
Allua,2011,Apr,17.0,0.033,1.2,8.69,61.0,54.6,0.019,6.99,12.3,14.2,27.0,78.82578551321572,Fair,68.50743874846488,Good,30.277272727272727,Poor,97.54497139,Excellent,97.008110234736,Excellent
Allua,2011,Apr,14.0,0.033,1.5,9.01,62.0,53.5,0.009,6.9,12.2,13.8,29.0,78.88801287770292,Fair,86.24744210068307,Excellent,29.69181818181818,Poor,97.78766839,Excellent,97.120774738416,Excellent
Allua,2011,May,6.0,0.051,2.3,8.62,62.0,50.6,0.019,7.51,12.5,14.3,63.0,76.76318061515096,Fair,67.30061116450622,Good,28.096363636363638,Poor,98.41571833,Excellent,97.201526037504,Excellent
Allua,2011,May,9.0,0.02,1.3,7.8,55.0,51.75,0.019,7.24,12.6,12.1,23.0,79.76416200934176,Fair,68.49290371358,Good,27.978181818181817,Poor,98.2353906,Excellent,97.508615558256,Excellent
Allua,2011,May,9.0,0.039,2.5,8.22,59.0,51.25,0.019,7.13,12.2,13.3,24.0,79.78562097730442,Fair,68.06745104963545,Good,28.15818181818182,Poor,98.18871157,Excellent,97.4163295356,Excellent
Allua,2011,Jun,16.0,0.028,2.1,10.2,70.0,56.65,0.019,7.35,15.3,18.7,31.0,78.08089464813136,Fair,68.61476699587043,Good,32.018181818181816,Moderate,97.53178964,Excellent,96.528903104256,Excellent
Allua,2011,Jun,11.0,0.022,1.9,10.1,64.0,55.0,0.0,7.14,14.7,16.9,19.0,81.96413947277557,Good,102.6836030758069,Unsuitable,30.332727272727276,Poor,97.96878286,Excellent,97.011305881344,Excellent
Allua,2011,Jun,16.0,0.027,2.1,10.3,69.0,56.1,0.019,7.41,15.5,18.5,22.0,78.92958183539844,Fair,68.67517873579811,Good,31.758181818181814,Moderate,97.54030041,Excellent,96.638439096064,Excellent
Allua,2011,Jul,13.0,0.033,2.0,8.8,68.0,54.95,0.019,7.37,15.8,17.6,24.0,79.00248896983238,Fair,68.46081423636988,Good,30.825454545454548,Poor,97.80985839,Excellent,96.843308682736,Excellent
Allua,2011,Jul,12.0,0.033,1.9,8.65,66.0,56.05,0.019,7.3,15.7,16.8,25.0,78.69147987315462,Fair,68.56057843602632,Good,30.913636363636364,Poor,97.87889879,Excellent,96.846363880896,Excellent
Allua,2011,Jul,11.0,0.033,2.4,8.72,64.0,54.95,0.019,7.32,15.9,16.1,25.0,78.91918329909296,Fair,68.44163500054879,Good,30.25454545454545,Poor,97.96289559,Excellent,96.946495384816,Excellent
Allua,2011,Aug,16.0,0.033,1.2,8.63,70.0,55.8,0.019,7.43,18.2,19.5,26.0,78.66058760306056,Fair,68.53250013993527,Good,31.59545454545454,Moderate,97.57662699,Excellent,96.62848707577601,Excellent
Allua,2011,Aug,16.0,0.033,1.3,7.72,69.0,56.1,0.019,7.52,17.5,19.0,26.0,78.59891729879774,Fair,68.5370705753802,Good,31.563636363636363,Moderate,97.58053659,Excellent,96.65282729721599,Excellent
Allua,2011,Aug,16.0,0.033,1.2,8.3,68.0,55.85,0.019,7.48,17.8,19.7,27.0,78.56813932156525,Fair,68.51649205614721,Good,31.42,Moderate,97.57810719,Excellent,96.657728636656,Excellent
Allua,2011,Sep,12.0,0.033,1.6,9.11,71.0,52.05,0.005,7.34,13.9,16.1,31.0,79.02335726000638,Fair,93.1544961977967,Excellent,29.970000000000002,Poor,97.94798979,Excellent,97.035349662144,Excellent
Allua,2011,Sep,12.0,0.021,1.3,9.81,96.0,51.95,0.019,7.32,13.7,16.5,31.0,79.04424227216927,Fair,68.38489539906959,Good,32.26272727272727,Moderate,97.95655163,Excellent,96.690060183024,Excellent
Allua,2011,Sep,13.0,0.033,1.6,10.1,118.0,51.85,0.019,7.18,13.8,18.2,31.0,79.0651439922702,Fair,68.17415575086228,Good,34.29272727272728,Moderate,97.85407919,Excellent,96.301732544256,Excellent
Allua,2011,Oct,127.0,0.04,1.2,11.0,69.0,101.8,0.019,7.2,15.9,152.0,58.0,69.22708275222236,Fair,71.95623364693495,Good,58.45454545454545,Fair,87.624371,Good,83.951707614976,Good
Allua,2011,Oct,16.0,0.03,1.2,11.0,68.0,98.0,0.019,7.0,15.5,152.0,44.0,70.42581778062905,Fair,72.02003039694922,Good,46.81818181818182,Moderate,96.3290867,Excellent,90.930795473856,Excellent
Allua,2011,Oct,127.0,0.04,1.2,11.0,68.0,99.6,0.019,7.0,15.6,152.0,43.0,70.26737948884724,Fair,71.97545737334258,Good,57.49090909090909,Fair,87.660595,Good,84.578419670976,Good
Allua,2011,Nov,127.0,0.03,1.2,9.0,61.0,90.4,0.019,7.0,10.6,152.0,48.0,71.24319787569904,Fair,71.3242871558365,Good,53.32727272727273,Fair,87.8338067,Good,86.300289478656,Good
Allua,2011,Nov,127.0,0.04,1.2,9.0,61.0,87.1,0.019,6.9,10.6,152.0,50.0,71.5966318161062,Fair,70.8633229008252,Good,52.09090909090909,Fair,87.878347,Good,86.719573130176,Good
Allua,2011,Nov,127.0,0.03,1.2,10.0,63.0,88.4,0.019,6.8,10.5,152.0,47.0,71.58234454200978,Fair,71.20397522814929,Good,52.800000000000004,Fair,87.8561467,Good,86.508248235456,Good
Allua,2011,Dec,16.0,0.04,1.2,10.0,70.0,92.1,0.019,7.0,7.9,152.0,34.0,71.79798486385621,Fair,71.45966109455995,Good,44.76363636363636,Moderate,96.425067,Excellent,91.923990883776,Excellent
Allua,2011,Dec,21.0,0.05,1.2,11.0,75.0,91.8,0.019,6.9,8.0,152.0,32.0,71.95795121534348,Fair,71.29611070195827,Good,45.61818181818182,Moderate,96.0231713,Excellent,91.605351388096,Excellent
Allua,2011,Dec,127.0,0.03,1.2,10.0,69.0,91.4,0.019,6.8,7.9,152.0,19.0,74.67623400366365,Fair,71.77158998289175,Good,54.436363636363645,Fair,87.8098827,Good,86.461191441856,Good
Allua,2013,Oct,13.0,0.04,1.2,18.6,76.0,46.95,0.019,6.9,13.6,152.0,29.0,80.28353011802668,Good,67.71404241219918,Good,29.363636363636363,Poor,97.268697,Excellent,95.576835790576,Excellent
Allua,2014,Nov,8.0,0.036,1.2,18.6,74.0,47.5,0.019,6.7,9.5,152.0,54.0,78.07084812046769,Fair,67.59406276313489,Good,28.85454545454546,Poor,97.65485088,Excellent,95.645332537344,Excellent
Allua,2014,Nov,8.0,0.046,1.2,18.6,71.0,47.25,0.019,6.7,9.5,152.0,51.0,78.36392895817677,Fair,67.4279733205171,Good,28.490909090909096,Poor,97.65096118,Excellent,95.738236124784,Excellent
Allua,2014,Nov,10.0,0.034,1.2,18.6,70.0,48.25,0.019,6.7,9.5,152.0,53.0,78.00064195723817,Fair,67.70420359238582,Good,28.94545454545455,Poor,97.48913682,Excellent,95.5973049724,Excellent
Allua,2014,Dec,12.0,0.044,1.2,18.6,76.0,46.9,0.019,6.8,8.5,152.0,46.0,78.8465111428492,Fair,67.47119897345459,Good,29.218181818181815,Poor,97.34595112,Excellent,95.6072870256,Excellent
Allua,2014,Dec,11.0,0.04,1.2,18.6,71.0,48.7,0.019,6.7,8.3,152.0,42.0,78.80507672378309,Fair,67.75855640284244,Good,29.29090909090909,Poor,97.399859,Excellent,95.635109650176,Excellent
Allua,2014,Dec,10.0,0.04,1.2,18.6,72.0,46.95,0.019,6.8,8.6,152.0,43.0,79.08606240594071,Fair,67.58056683567088,Good,28.690909090909088,Poor,97.503869,Excellent,95.759151713776,Excellent
Allua,2017,Oct,127.0,0.04,1.2,18.6,71.0,47.55,0.01,7.1,12.8,152.0,48.0,78.54764186425459,Fair,83.56938721132659,Excellent,39.563636363636355,Moderate,88.3890452,Good,90.7422201244,Excellent
ASKANAGAP STREAM_010,2007,Jan,15.0,0.0,0.73,9.7,356.0,56.52,-0.004,6.72,9.2,24.0,10.0,81.59929702322903,Good,110.57136050454704,Unsuitable,57.60545454545454,Fair,97.6602827,Excellent,91.597897744956,Excellent
ASKANAGAP STREAM_010,2007,Mar,15.0,0.008,1.2,11.0,356.0,57.66,0.01,6.61,7.2,22.0,15.0,81.32964577081148,Good,85.47851372383386,Excellent,58.09818181818182,Fair,97.61911144,Excellent,91.44884381630399,Excellent
ASKANAGAP STREAM_010,2007,Apr,20.0,0.0,2.9,12.1,356.0,58.45,0.01,6.9,8.7,24.0,10.0,81.14475778234744,Good,85.61167509961668,Excellent,59.045454545454554,Fair,97.156449,Excellent,90.8754923376,Excellent
ASKANAGAP STREAM_010,2007,Jul,15.0,0.047,1.35,7.9,356.0,56.04,0.008,5.84,11.9,20.0,30.0,78.28474794035228,Fair,88.18329411213497,Excellent,56.947272727272725,Fair,97.65891031,Excellent,91.488088719676,Excellent
ASKANAGAP STREAM_010,2007,Sep,15.0,0.0,0.9,10.6,356.0,54.44,0.0,6.72,13.2,24.0,20.0,82.10010206483744,Good,103.13304674150854,Unsuitable,56.93090909090909,Fair,97.6776222,Excellent,91.5133822876,Excellent
ASKANAGAP STREAM_010,2007,Oct,40.0,0.008,1.2,11.6,356.0,56.36,0.004,6.57,10.5,38.0,10.0,81.63741447909615,Good,96.13586155153469,Excellent,59.93818181818181,Fair,95.61910304,Excellent,90.005120084976,Excellent
ASKANAGAP STREAM_010,2008,Jan,50.5,0.025,1.0,18.6,356.0,58.65,0.007,6.9,8.2,36.0,15.0,81.09820513634945,Good,90.56220161403863,Excellent,62.48181818181819,Fair,94.68891815,Excellent,88.963943932864,Good
ASKANAGAP STREAM_010,2008,Jan,17.0,0.0,1.8,10.1,356.0,57.4,0.001,7.01,5.6,23.0,7.5,81.39084751902887,Good,101.64810224868702,Unsuitable,58.24909090909091,Fair,97.460637,Excellent,91.446785030256,Excellent
ASKANAGAP STREAM_010,2008,Mar,13.0,0.0,1.0,10.2,356.0,56.285,0.002,7.33,6.4,21.0,5.0,81.65530517491388,Good,99.7722974906889,Excellent,57.60545454545454,Fair,97.8141802,Excellent,91.816475609404,Excellent
