ticknumb	location	day1	day2	day3
2976	Rural	1.88	NA	NA
2977	Rural	1.91	NA	NA
2978	Rural	1.64	NA	NA
2979	City	1.34	NA	NA
2982	City	1.85	NA	NA
2983	City	2.08	NA	NA
2984	City	1.02	NA	NA
2985	Rural	1.79	NA	NA
2988	Rural	1.94	NA	NA
2989	Rural	3.26	1.97	1.67
2990	City	1.14	0.58	0.11
3008	Rural	1.5	0.7	0.38
3009	Rural	2.03	NA	NA
3010	Rural	2.24	NA	NA
3013	Rural	1.11	NA	NA
3014	Rural	2.21	NA	NA
3016	City	1.94	NA	NA
3017	City	2.41	NA	NA
3018	City	0.88	NA	NA
3019	Rural	1.17	1.35	NA
3027	City	2.23	NA	NA
3028	Rural	1.64	NA	NA
3029	Rural	2.14	NA	NA
3030	City	0.11	0.29	NA
3031	City	2.17	NA	NA
3032	Rural	1.67	NA	NA
3033	Rural	1	NA	NA
3034	Rural	0.88	NA	NA
3035	City	2.2	NA	NA
3048	City	2.17	NA	NA
3049	Rural	2.32	NA	NA
3051	City	1.64	NA	NA
3052	Rural	3	NA	NA
3053	Rural	2.38	0.85	NA
3054	Rural	1.6	1.02	NA
3055	Rural	1.58	NA	NA
3056	Rural	2.61	NA	NA
3057	City	1.44	0.05	0.2
3064	City	1.57	NA	NA
3065	Rural	2.32	NA	NA
3068	Rural	1.14	NA	NA
3069	City	1.93	NA	NA
3070	City	2.47	NA	NA
3072	Rural	2.29	NA	NA
3073	Rural	1	NA	NA
3092	Rural	1.58	NA	NA
3093	City	2.44	NA	NA
3094	Rural	0.83	NA	NA
3095	City	2.71	0.78	0.33
3096	Rural	1.73	NA	NA
3097	City	1.58	NA	NA
3098	City	1.5	NA	NA
3100	Rural	1.05	NA	NA
3106	City	2.05	NA	NA
3107	Rural	2.63	NA	NA
3109	City	2.55	2.29	NA
3111	Rural	2	NA	NA
3112	City	2	NA	NA
3114	Rural	1.32	NA	NA
3116	Rural	3.14	NA	NA
3118	City	1.44	NA	NA
3129	City	1.85	0.23	NA
3131	Rural	1.41	0.44	NA
3132	Rural	1.94	NA	NA
3133	City	2.91	NA	NA
3135	Rural	1.85	NA	NA
3136	City	1.7	NA	NA
3137	Rural	2.23	NA	NA
3138	City	1.11	NA	NA
3139	Rural	1.47	NA	NA
3146	Rural	2.2	NA	NA
3147	City	1.82	NA	NA
3148	Rural	1.42	NA	NA
3168	Rural	2.44	NA	NA
3171	Rural	2.66	NA	NA
3172	City	1.52	NA	NA
3173	Rural	1.35	0.47	0.73
3180	Rural	1.29	NA	NA
3182	Rural	2.32	NA	NA
3190	City	0.78	NA	NA
3192	Rural	2.84	NA	NA
3202	City	0.97	NA	NA
3236	Rural	1.52	NA	NA
3245	Rural	1.7	NA	NA
3246	Rural	0.94	1.17	1.29
3247	City	1.41	NA	NA
3248	City	1.79	NA	NA
3249	City	1.08	0.44	0.44
3250	City	1.47	NA	NA
3251	Rural	1.79	0.47	NA
3253	City	2	NA	NA
3254	Rural	0.76	NA	NA
3255	City	2.2	NA	NA
3256	Rural	0.94	0.17	NA
3257	Rural	1.38	NA	NA
3258	Rural	1.38	0.85	NA
3260	City	0.32	NA	NA
3261	City	2.58	NA	NA
3262	City	0.51	NA	NA
3264	Rural	0.32	NA	NA
3267	Rural	0.91	1.11	1.7
3273	City	1.51	NA	NA
3275	Rural	1.47	NA	NA
3276	Rural	2.5	NA	NA
3277	Rural	2.26	NA	NA
3278	Rural	2.81	NA	NA
3279	Rural	1.87	NA	NA
3281	Rural	2	NA	NA
3282	Rural	2.23	0.41	1.02
3284	City	2	0.76	NA
3290	Rural	1.41	NA	NA
3291	City	1.64	NA	NA
3292	City	1.64	NA	NA
3296	City	1.26	NA	NA
3306	Rural	1.52	0.55	1.88
3307	City	2.44	1.02	0.76
3308	Rural	2.18	NA	NA
3309	Rural	3.02	NA	NA
3310	Rural	1.02	NA	NA
3311	Rural	2.88	NA	NA
3312	City	1.54	NA	NA
3313	Rural	1.64	NA	NA
3314	Rural	2.44	2.5	1.7
3315	Rural	1.29	NA	NA
3316	Rural	1.61	0.32	0.26
3321	Rural	1.77	NA	NA
3325	City	0.91	0.17	NA
3326	Rural	0.85	0.2	0.38
3327	City	0.85	0.52	0.44
3328	Rural	1.5	NA	NA
3329	City	1.05	0.23	NA
3338	Rural	3.38	NA	NA
3340	Rural	1.42	0.52	2
3341	Rural	1.85	NA	NA
3348	Rural	1.91	0.84	NA
3349	City	0.82	0.26	NA
3350	Rural	1.32	0.76	NA
3351	Rural	2.23	0.85	0.39
3352	Rural	1.47	1.52	0.17
3363	Rural	2.7	NA	NA
3365	City	1.58	NA	NA
3366	City	1	NA	NA
3367	Rural	1.44	NA	NA
3368	Rural	2	NA	NA
3369	City	1.6	NA	NA
3370	Rural	2.32	2.53	1.67
3371	Rural	3.41	NA	NA
3372	Rural	2.02	NA	NA
3373	City	0.64	0.52	NA
3374	City	3.58	3.35	NA
3375	City	1.5	NA	NA
3376	City	1.08	NA	NA
3377	Rural	1.52	NA	NA
3378	City	1.26	NA	NA
3379	Rural	1.68	NA	NA
3380	City	1.47	1.08	0.58
3390	Rural	1.47	NA	NA
3391	Rural	1.67	1.55	NA
3392	Rural	2.47	1.97	NA
3393	City	1.82	NA	NA
3394	Rural	2.17	NA	NA
3395	Rural	3.21	NA	NA
3397	Rural	1.6	1.38	1.02
3398	Rural	0.32	NA	NA
3407	Rural	0.55	NA	NA
3411	Rural	1.42	NA	NA
3412	City	1.14	NA	NA
3413	Rural	2.64	NA	NA
3416	Rural	2.58	NA	NA
3418	Rural	2.02	NA	NA
3419	City	2	NA	NA
3420	Rural	2.9	NA	NA
3423	City	1.82	NA	NA
3429	Rural	0.5	NA	NA
3431	City	1.53	NA	NA
3449	Rural	2.48	NA	NA
3450	Rural	2.05	NA	NA
3453	City	2.52	NA	NA
3454	Rural	1.88	NA	NA
3455	City	2.73	NA	NA
3456	Rural	2.88	NA	NA
3457	Rural	1.67	NA	NA
3458	Rural	1.93	NA	NA
3460	Rural	1.67	NA	NA
3461	City	1.2	NA	NA
3464	Rural	2.75	NA	NA
3467	Rural	1.94	0.97	NA
3468	Rural	0.59	NA	NA
3469	Rural	1.5	NA	NA
3477	City	1.58	0.94	0.94
3480	Rural	2.23	0.11	0.17
3483	Rural	2.35	NA	NA
3490	Rural	2.55	0.82	0.29
3493	City	1.55	NA	NA
3494	Rural	2.31	NA	NA
3495	City	2.23	NA	NA
3500	Rural	0.67	0.5	NA
3501	City	2.51	NA	NA
3503	City	1.08	0.58	0.61
3510	Rural	2.44	NA	NA
3511	Rural	0.23	0.14	NA
3512	Rural	2.17	NA	NA
3518	City	1.9	1.17	NA
3519	Rural	1.67	0.44	NA
3521	Rural	2	0.58	0.52
3522	Rural	2.44	NA	NA
3523	City	1.44	NA	NA
3524	City	0.82	NA	NA
3525	Rural	2.5	NA	NA
3526	City	1.82	NA	NA
3536	Rural	1.97	NA	NA
3539	Rural	2.52	NA	NA
3540	Rural	0.05	NA	NA
3542	Rural	2.08	NA	NA
3545	Rural	2.39	NA	NA
3546	City	1.45	0.82	NA
3551	City	2.58	NA	NA
3557	Rural	2.12	NA	NA
3565	Rural	2.02	0.76	0.55
3567	City	1.78	1.14	0.44
3568	City	0.73	0.17	0.76
3569	Rural	2.26	0.9	1.85
3570	Rural	2.79	NA	NA
3571	City	0.43	0.67	0.14
3572	City	0.52	0.38	0.7
3573	Rural	2.32	NA	NA
3574	City	2.22	NA	NA
3575	City	0.58	NA	NA
3576	City	2	NA	NA
3577	Rural	0.7	NA	NA
3586	City	1	NA	NA
3587	City	0.3	NA	NA
3588	City	1.52	NA	NA
3593	Rural	1.58	0.35	NA
3594	City	2.34	NA	NA
3595	Rural	0.79	NA	NA
3596	Rural	2.26	NA	NA
3597	City	2.35	NA	NA
3598	Rural	1.7	NA	NA
3599	Rural	3.09	NA	NA
3600	Rural	1.52	NA	NA
3601	Rural	0.35	NA	NA
3602	Rural	2.7	NA	NA
3603	Rural	1.64	NA	NA
3605	City	0.82	NA	NA
3606	City	2.73	NA	NA
3607	Rural	2.23	NA	NA
3609	Rural	1.06	NA	NA
3610	City	2.05	0.2	0.35
3613	Rural	1.73	1.44	NA
3614	Rural	0.93	0.91	NA
3620	Rural	2.5	2.44	NA
3621	City	1.44	NA	NA
3622	Rural	2.88	NA	NA
3625	Rural	0.67	0.23	0.44
3626	City	1.85	0.35	NA
3627	Rural	1.21	0.79	NA
3628	City	1.06	0.76	0.7
3629	City	0.61	0.26	0.33
3631	Rural	2	NA	NA
3634	Rural	1.17	0.73	1.17
3635	Rural	1.48	0.79	1.55
3645	Rural	1.55	NA	NA
3646	Rural	3.29	NA	NA
3647	City	1.47	NA	NA
3648	City	0.96	NA	NA
3649	City	1	1.11	1.2
3652	City	1.47	NA	NA
3653	Rural	2.55	2.38	NA
3654	Rural	0.44	0.06	NA
3655	Rural	2.35	2.41	NA
3656	Rural	1.71	0.85	NA
3659	City	1.84	0.58	0.7
3660	Rural	1.11	0.23	0.55
3667	Rural	1.38	NA	NA
3669	City	0.88	NA	NA
3670	Rural	0.94	NA	NA
3672	Rural	1.91	NA	NA
3676	City	2.76	NA	NA
3677	City	1.55	0.32	0.47
3678	City	2.67	NA	NA
3680	Rural	1.03	0.29	0.72
3696	Rural	2.5	NA	NA
3697	City	1.64	NA	NA
3698	Rural	2.26	NA	NA
3709	Rural	2.14	NA	NA
3710	City	0.52	NA	NA
3711	City	1.08	NA	NA
3712	City	1.69	NA	NA
3713	City	2.73	NA	NA
3714	City	1.91	NA	NA
3715	City	1.73	NA	NA
3716	Rural	3.21	NA	NA
3717	Rural	2.11	NA	NA
3718	Rural	2.05	NA	NA
3719	City	2.17	NA	NA
3720	Rural	2.17	NA	NA
3721	Rural	2.3	NA	NA
3722	Rural	2.56	NA	NA
3723	Rural	2.11	0.41	0.47
3724	City	1.7	NA	NA
3725	Rural	1.23	NA	NA
3726	Rural	3.2	NA	NA
3727	Rural	2.02	NA	NA
3728	Rural	2.64	NA	NA
3729	City	2.52	0.14	NA
3730	City	1.61	NA	NA
3731	City	1.5	1.2	0.91
3734	City	1.15	0.45	0.44
3736	City	1.82	NA	NA
3753	Rural	1.5	NA	NA
3754	Rural	2.32	NA	NA
3759	Rural	2.92	NA	NA
3764	City	1.41	NA	NA
3769	City	1.35	NA	NA
3778	City	0.61	0.14	NA
3779	Rural	0.73	NA	NA
3782	Rural	2.23	1.88	NA
3783	Rural	1.32	0.91	NA
3784	Rural	2.94	1.79	NA
3785	City	1.61	NA	NA
3786	Rural	1	NA	NA
3787	Rural	3.15	3	NA
3788	Rural	2.88	NA	NA
3791	Rural	2.09	1.21	NA
3792	Rural	1.32	1.7	2.29
3793	City	1.47	0.35	NA
3794	City	1.61	NA	NA
3796	City	2.2	1.5	1.88
3797	Rural	2.78	NA	NA
3798	Rural	2.06	NA	NA
3799	Rural	0.47	NA	NA
3804	Rural	2.87	NA	NA
3826	City	1.14	NA	NA
3828	Rural	3.32	3.21	NA
3831	Rural	2.08	1.38	NA
3836	Rural	2.38	2.5	NA
3837	Rural	2.08	NA	NA
3838	City	1.85	NA	NA
3840	City	1.38	NA	NA
3844	City	1.14	NA	NA
3846	City	1.58	NA	NA
3849	City	1.23	0.7	1.02
3850	Rural	2.53	NA	NA
3851	City	0.67	NA	NA
3854	Rural	0.73	NA	NA
3855	Rural	1.34	NA	NA
3856	Rural	2.14	0.7	NA
3857	Rural	1	NA	NA
3858	City	1.35	NA	NA
3859	City	1.94	0.79	NA
3860	City	0.5	NA	NA
3869	Rural	3.08	NA	NA
3870	Rural	2.88	NA	NA
3871	Rural	1.91	NA	NA
3872	City	1.41	NA	NA
3873	City	2.02	NA	NA
3874	Rural	0.76	NA	NA
3875	City	1.94	NA	NA
3876	City	0.67	0.28	NA
3879	Rural	2.41	NA	NA
3880	Rural	2.17	NA	NA
3882	Rural	2.67	0.41	NA
3883	City	1.94	0.64	NA
3888	Rural	2.05	0.85	1.7
3890	City	2.17	NA	NA
3909	City	0.47	NA	NA
3912	City	0.62	0.76	NA
3913	Rural	2	NA	NA
3914	City	0.45	NA	NA
3916	Rural	2.29	0.91	1.38
3917	Rural	2.55	NA	NA
3918	Rural	0.82	NA	NA
3919	Rural	3.12	2.2	NA
3920	City	2.5	2.23	0.41
3921	City	1.79	NA	NA
3922	Rural	2.28	NA	NA
3923	City	0.58	1.05	0.58
3924	Rural	2.5	1.29	NA
3925	Rural	1.41	NA	NA
3926	Rural	2.14	NA	NA
3927	City	0.76	0.26	NA
3929	City	1.79	1.11	NA
3930	City	1.02	0.35	NA
3932	Rural	2.62	NA	NA
3942	City	0.88	NA	NA
3944	City	1.58	0.2	0.2
3945	Rural	2.2	NA	NA
3946	Rural	1.14	NA	NA
3947	City	1.47	0.52	0.35
3948	Rural	1.41	0.23	0.38
3949	City	1.44	1.76	1.18
3950	Rural	1.23	1.17	NA
3951	Rural	1.82	NA	NA
3952	Rural	2.44	NA	NA
3954	Rural	1.94	1.2	NA
3955	City	2.41	NA	NA
3964	Rural	2.27	NA	NA
3965	City	1.79	0.23	NA
3966	City	1.88	NA	NA
3972	City	1.85	0.64	1.32
3973	Rural	2.21	NA	NA
3986	City	1.97	1.94	NA
3987	Rural	2.51	NA	NA
3988	Rural	2.05	NA	NA
3989	Rural	1.29	1	0.82
3990	Rural	2.05	NA	NA
3991	Rural	2.23	NA	NA
3992	Rural	1.76	NA	NA
3993	City	1.05	NA	NA
3994	City	1.79	NA	NA
3995	Rural	1.02	0.73	0.47
3996	Rural	2.76	1.58	NA
3997	Rural	1.67	0.55	NA
4010	City	2.85	NA	NA
4011	Rural	0.23	0.84	NA
4012	Rural	1.9	NA	NA
4013	City	1.23	0.52	NA
4014	City	1.97	NA	NA
4015	Rural	1.5	NA	NA
4016	Rural	3.69	NA	NA
4017	Rural	0.5	NA	NA
4022	Rural	2.18	NA	NA
4023	Rural	2.17	NA	NA
4024	Rural	1.58	NA	NA
4025	City	2.88	NA	NA
4030	City	2.52	NA	NA
4032	Rural	2.2	NA	NA
4033	City	1.73	NA	NA
4034	Rural	2.23	NA	NA
4079	City	1.97	NA	NA
4089	City	1.2	0.67	0.91
4090	City	2	NA	NA
4092	Rural	1.91	NA	NA
4093	City	0.81	NA	NA
4095	Rural	1.31	NA	NA
4096	Rural	0.38	NA	NA
4101	Rural	1.97	NA	NA
4104	Rural	0.38	NA	NA
4105	Rural	2.11	0.76	0.85
4106	Rural	3.2	NA	NA
4107	Rural	0.02	NA	NA
4109	Rural	2.56	NA	NA
4110	Rural	2.02	NA	NA
4111	Rural	2.3	NA	NA
4114	City	2.02	NA	NA
4147	Rural	2.05	NA	NA
4148	Rural	1.7	NA	NA
4149	City	1.61	NA	NA
4150	City	0.73	NA	NA
4151	City	2.5	1.64	NA
4152	Rural	2.18	1.75	1.91
4153	Rural	2.46	1.08	1.91
4154	Rural	1.5	0.91	NA
4155	Rural	1.73	0.94	NA
4156	City	1.44	NA	NA
4157	City	1.64	0.32	0.52
4158	Rural	20.02	2.44	NA
4159	Rural	1.2	0.17	0.2
4160	City	0.38	0.02	NA
4161	Rural	1.58	1.54	1.76
4162	Rural	1.67	0.5	NA
4163	Rural	1	0.48	NA
4164	Rural	2.58	1.35	NA
4165	Rural	2.82	2.61	3.02
4166	Rural	2.29	2.05	NA
4167	Rural	1.14	NA	NA
4168	Rural	1.64	0.76	NA
4171	Rural	1.82	0.08	NA
4172	Rural	3.32	2.91	3.02
4193	City	3.32	NA	NA
4194	City	1.85	1	1.5
4195	City	2.29	NA	NA
4196	Rural	1.47	0.47	1.58
4197	City	2.08	0.7	0.67
4198	City	2.2	NA	NA
4199	Rural	1.06	1.45	NA
4216	Rural	0.97	0.14	0.02
4218	City	2	NA	NA
4219	Rural	1.67	0.38	NA
4220	Rural	2.94	NA	NA
4221	Rural	1.55	NA	NA
4222	City	0.88	0.26	NA
4223	Rural	1.35	2.32	NA
4224	Rural	0.61	0.2	0.17
4225	City	1	NA	NA
4226	Rural	1.52	2.72	0.52
4234	City	1	NA	NA
4235	City	1.76	0.41	0.88
4236	Rural	2.52	NA	NA
4237	Rural	2	0.88	1.44
4238	Rural	2.63	NA	NA
4239	Rural	0.73	0.85	NA
4240	City	1.58	0.23	1.66
4241	Rural	0.58	NA	NA
4245	Rural	1.67	NA	NA
4247	Rural	1.47	NA	NA
4249	Rural	1.81	NA	NA
4256	City	1.91	NA	NA
4257	City	1.06	NA	NA
4259	City	1.47	1.23	0.94
4262	City	2.52	NA	NA
4263	Rural	1.85	0.2	NA
4264	City	3.44	NA	NA
4265	Rural	1.55	1.32	1.19
4266	Rural	2.29	2.7	NA
4267	Rural	1.76	NA	NA
4268	City	1.9	NA	NA
4269	City	2.52	2.55	NA
4271	Rural	2.52	NA	NA
4274	Rural	2.82	0.17	NA
4281	Rural	2.02	NA	NA
4284	Rural	1.29	NA	NA
4285	City	1.26	NA	NA
4287	Rural	0.94	NA	NA
4291	Rural	2	1.13	0.53
4292	Rural	0.73	NA	NA
4294	City	2.26	0.79	NA
4295	Rural	2.23	NA	NA
4297	City	2.35	NA	NA
4298	Rural	0.55	0.38	NA
4301	Rural	1.85	NA	NA
4302	City	0.67	NA	NA
4305	City	1.85	1	NA
4306	City	1.23	0.2	NA
4308	Rural	2.35	NA	NA
4309	City	1.35	NA	NA
4310	Rural	1.94	NA	NA
4311	City	1.55	NA	NA
4312	Rural	1.29	NA	NA
4313	City	2.17	NA	NA
4314	Rural	1.91	NA	NA
4333	Rural	2.88	NA	NA
4334	Rural	2.36	NA	NA
4335	Rural	2.36	NA	NA
4336	Rural	2.2	NA	NA
4349	Rural	2.17	0.47	0.38
4351	City	0.52	NA	NA
4352	City	0.32	NA	NA
4353	Rural	1.52	0.55	NA
4354	City	2	0.94	0.08
4355	City	1.32	1.02	1.2
4356	Rural	2.05	NA	NA
4357	Rural	1.73	NA	NA
4358	City	1.94	NA	NA
4359	Rural	1.81	NA	NA
4360	City	0.9	0.64	NA
4361	City	1.58	0.67	NA
4363	Rural	2.29	1.87	0.91
4366	Rural	2.57	NA	NA
4370	Rural	1.58	NA	NA
4382	Rural	2.33	0.82	NA
4383	Rural	3.15	NA	NA
4384	Rural	2.29	NA	NA
4385	Rural	0.82	NA	NA
4386	Rural	1.93	NA	NA
4387	Rural	1.82	NA	NA
4388	Rural	1.96	NA	NA
4389	Rural	1.32	0.64	0.47
4391	Rural	1.02	NA	NA
4392	Rural	1.14	NA	NA
4393	Rural	2.32	NA	NA
4394	City	2.16	NA	NA
4396	Rural	2.42	1.7	NA
4397	Rural	1.14	NA	NA
4398	City	1.55	0.79	1.76
4404	Rural	1.17	NA	NA
4405	Rural	1	0.58	0.32
4410	Rural	1.05	0.11	NA
4419	Rural	1.38	NA	NA
4428	Rural	1.93	2.42	NA
4430	Rural	2.73	NA	NA
4435	Rural	2.02	NA	NA
4436	Rural	2.81	NA	NA
4437	Rural	2.47	NA	NA
4439	City	1.35	NA	NA
4440	City	2.08	NA	NA
4441	Rural	2.5	NA	NA
4442	Rural	2.45	NA	NA
4443	Rural	2.17	NA	NA
4444	City	1.7	0	NA
4445	City	0.7	0.23	0.45
4446	City	1.51	NA	NA
4447	Rural	1.23	NA	NA
4448	Rural	2.14	0.85	NA
4452	City	1.14	1.14	NA
4453	Rural	0.96	NA	NA
4454	City	1.52	1.14	1.26
4455	City	0.52	NA	NA
4456	City	1.56	NA	NA
4459	Rural	3.29	0.26	NA
4464	City	0.45	NA	NA
4467	Rural	2.63	NA	NA
4468	Rural	1.7	NA	NA
4470	City	3.11	NA	NA
4479	Rural	1.82	NA	NA
4481	Rural	1.58	0.14	NA
4482	Rural	2.73	NA	NA
4485	Rural	1.5	1.14	NA
4486	City	1.78	1.02	NA
4488	Rural	2.02	NA	NA
4507	City	0.67	0.94	0.91
4509	Rural	1.41	0.55	NA
4510	City	0.9	NA	NA
4511	Rural	1.23	1.11	0.76
4512	Rural	2.7	NA	NA
4514	Rural	1.97	NA	NA
4515	City	0.84	NA	NA
4516	City	1.79	NA	NA
4517	Rural	2.84	NA	NA
4518	City	2.02	NA	NA
4519	City	1.64	0.7	NA
4525	Rural	1.08	NA	NA
4533	Rural	2.97	NA	NA
4552	Rural	0.94	NA	NA
4553	Rural	2.97	1.94	NA
4554	Rural	0.97	NA	NA
4555	City	1.47	NA	NA
4559	Rural	2.61	NA	NA
4563	Rural	1.73	0.2	0.91
4564	Rural	3.38	3.44	3.41
4569	City	3.17	1	1.73
4570	Rural	2.2	0.91	NA
4571	Rural	2.14	NA	NA
4582	City	1.29	1.58	0.81
4590	Rural	3.21	2.85	NA
4597	City	2.67	NA	NA
4598	City	1.85	0.79	NA
4601	Rural	1.35	NA	NA
4607	Rural	2.14	0.76	NA
4611	City	1.24	0.56	NA
4654	Rural	2.02	1.78	2.55
4655	Rural	2.32	NA	NA
4663	City	1.08	0.23	NA
4666	City	1.14	1.35	1.02
4690	Rural	2.14	1.82	NA
4692	Rural	2.88	NA	NA
4693	City	1.35	0.17	0.44
4694	City	1	1.7	NA
4695	City	2.02	NA	NA
4696	Rural	0.64	1.32	NA
4697	City	0.29	0.14	NA
4698	Rural	1.73	0.94	NA
4699	Rural	1.82	1.52	NA
4704	Rural	2.11	NA	NA
4710	Rural	1.23	NA	NA
4711	City	0.64	NA	NA
4724	City	2.23	1.41	2.11
4725	Rural	2.44	0.32	NA
4740	City	1.17	0.58	NA
4744	Rural	0.61	0.44	NA
4749	Rural	0.52	NA	NA
4756	Rural	2.91	0.94	NA
4758	Rural	2.61	1.44	NA
4759	Rural	1.47	NA	NA
4760	City	1.28	NA	NA
4765	Rural	1.26	NA	NA
